range_start,range_end,percentage
0,99,0.6714
100,199,0.0062
200,299,0.0035
300,399,0.0023
400,499,0.0021
500,599,0.0022
600,699,0.0016
700,799,0.0015
800,899,0.0013
900,999,0.0012
1000,1099,0.0016
1100,1199,0.0010
1200,1299,0.0008
1300,1399,0.0006
1400,1499,0.0006
1500,1599,0.0007
1600,1699,0.0006
1700,1799,0.0005
1800,1899,0.0005
1900,1999,0.0004
2000,2099,0.0010
2100,2199,0.0005
2200,2299,0.0005
2300,2399,0.0004
2400,2499,0.0004
2500,2599,0.0005
2600,2699,0.0004
2700,2799,0.0003
2800,2899,0.0003
2900,2999,0.0003
3000,3099,0.0008
3100,3199,0.0004
3200,3299,0.0004
3300,3399,0.0003
3400,3499,0.0003
3500,3599,0.0004
3600,3699,0.0003
3700,3799,0.0003
3800,3899,0.0003
3900,3999,0.0003
4000,4099,0.0006
4100,4199,0.0004
4200,4299,0.0003
4300,4399,0.0003
4400,4499,0.0003
4500,4599,0.0005
4600,4699,0.0003
4700,4799,0.0003
4800,4899,0.0003
4900,4999,0.0003
5000,5099,0.0017
5100,5199,0.0006
5200,5299,0.0005
5300,5399,0.0004
5400,5499,0.0004
5500,5599,0.0010
5600,5699,0.0005
5700,5799,0.0004
5800,5899,0.0003
5900,5999,0.0003
6000,6099,0.0011
6100,6199,0.0005
6200,6299,0.0004
6300,6399,0.0003
6400,6499,0.0003
6500,6599,0.0004
6600,6699,0.0003
6700,6799,0.0002
6800,6899,0.0003
6900,6999,0.0003
7000,7099,0.0007
7100,7199,0.0004
7200,7299,0.0003
7300,7399,0.0003
7400,7499,0.0003
7500,7599,0.0003
7600,7699,0.0003
7700,7799,0.0002
7800,7899,0.0002
7900,7999,0.0002
8000,8099,0.0007
8100,8199,0.0003
8200,8299,0.0003
8300,8399,0.0003
8400,8499,0.0003
8500,8599,0.0003
8600,8699,0.0003
8700,8799,0.0002
8800,8899,0.0002
8900,8999,0.0002
9000,9099,0.0008
9100,9199,0.0004
9200,9299,0.0003
9300,9399,0.0003
9400,9499,0.0003
9500,9599,0.0004
9600,9699,0.0003
9700,9799,0.0003
9800,9899,0.0002
9900,9999,0.0011
9900,10799,0.0076
10800,11699,0.0092
11700,12599,0.0038
12600,13499,0.0024
13500,14399,0.0023
14400,15299,0.0038
15300,16199,0.0036
16200,17099,0.0027
17100,17999,0.0018
18000,18899,0.0020
18900,19799,0.0024
19800,20699,0.0073
20700,21599,0.0076
21600,22499,0.0037
22500,23399,0.0021
23400,24299,0.0017
24300,25199,0.0023
25200,26099,0.0022
26100,26999,0.0017
27000,27899,0.0016
27900,28799,0.0014
28800,29699,0.0016
29700,30599,0.0042
30600,31499,0.0042
31500,32399,0.0026
32400,33299,0.0016
33300,34199,0.0012
34200,35099,0.0015
35100,35999,0.0014
36000,36899,0.0014
36900,37799,0.0012
37800,38699,0.0011
38700,39599,0.0011
39600,40499,0.0025
40500,41399,0.0021
41400,42299,0.0021
42300,43199,0.0013
43200,44099,0.0010
44100,44999,0.0009
45000,45899,0.0013
45900,46799,0.0011
46800,47699,0.0010
47700,48599,0.0010
48600,49499,0.0011
49500,50399,0.0035
50400,51299,0.0025
51300,52199,0.0030
52200,53099,0.0017
53100,53999,0.0010
54000,54899,0.0009
54900,55799,0.0012
55800,56699,0.0009
56700,57599,0.0008
57600,58499,0.0008
58500,59399,0.0008
59400,60299,0.0014
60300,61199,0.0012
61200,62099,0.0013
62100,62999,0.0009
63000,63899,0.0008
63900,64799,0.0007
64800,65699,0.0009
65700,66599,0.0007
66600,67499,0.0007
67500,68399,0.0006
68400,69299,0.0006
69300,70199,0.0011
70200,71099,0.0010
71100,71999,0.0007
72000,72899,0.0011
72900,73799,0.0007
73800,74699,0.0006
74700,75599,0.0007
75600,76499,0.0006
76500,77399,0.0006
77400,78299,0.0006
78300,79199,0.0006
79200,80099,0.0009
80100,80999,0.0009
81000,81899,0.0007
81900,82799,0.0009
82800,83699,0.0006
83700,84599,0.0005
84600,85499,0.0006
85500,86399,0.0005
86400,87299,0.0005
87300,88199,0.0005
88200,89099,0.0005
89100,89999,0.0005
90000,90899,0.0009
90900,91799,0.0006
91800,92699,0.0007
92700,93599,0.0006
93600,94499,0.0005
94500,95399,0.0006
95400,96299,0.0005
96300,97199,0.0005
97200,98099,0.0005
98100,98999,0.0005
99000,99899,0.0013
99900,100799,0.0002
99000,107999,0.0092
108000,116999,0.0048
117000,125999,0.0046
126000,134999,0.0039
135000,143999,0.0037
144000,152999,0.0041
153000,161999,0.0038
162000,170999,0.0030
171000,179999,0.0027
180000,188999,0.0028
189000,197999,0.0026
198000,206999,0.0040
207000,215999,0.0025
216000,224999,0.0022
225000,233999,0.0021
234000,242999,0.0020
243000,251999,0.0021
252000,260999,0.0021
261000,269999,0.0017
270000,278999,0.0016
279000,287999,0.0015
288000,296999,0.0015
297000,305999,0.0020
306000,314999,0.0015
315000,323999,0.0013
324000,332999,0.0012
333000,341999,0.0011
342000,350999,0.0011
351000,359999,0.0011
360000,368999,0.0010
369000,377999,0.0009
378000,386999,0.0009
387000,395999,0.0008
396000,404999,0.0010
405000,413999,0.0009
414000,422999,0.0008
423000,431999,0.0007
432000,440999,0.0007
441000,449999,0.0006
450000,458999,0.0007
459000,467999,0.0006
468000,476999,0.0006
477000,485999,0.0006
486000,494999,0.0006
495000,503999,0.0008
504000,512999,0.0007
513000,521999,0.0005
522000,530999,0.0005
531000,539999,0.0004
540000,548999,0.0004
549000,557999,0.0004
558000,566999,0.0004
567000,575999,0.0004
576000,584999,0.0004
585000,593999,0.0004
594000,602999,0.0004
603000,611999,0.0004
612000,620999,0.0003
621000,629999,0.0003
630000,638999,0.0003
639000,647999,0.0003
648000,656999,0.0003
657000,665999,0.0003
666000,674999,0.0003
675000,683999,0.0003
684000,692999,0.0003
693000,701999,0.0003
702000,710999,0.0003
711000,719999,0.0003
720000,728999,0.0002
729000,737999,0.0002
738000,746999,0.0002
747000,755999,0.0002
756000,764999,0.0002
765000,773999,0.0002
774000,782999,0.0002
783000,791999,0.0002
792000,800999,0.0002
801000,809999,0.0002
810000,818999,0.0002
819000,827999,0.0002
828000,836999,0.0002
837000,845999,0.0002
846000,854999,0.0002
855000,863999,0.0002
864000,872999,0.0002
873000,881999,0.0002
882000,890999,0.0002
891000,899999,0.0002
900000,908999,0.0002
909000,917999,0.0002
918000,926999,0.0001
927000,935999,0.0001
936000,944999,0.0001
945000,953999,0.0002
954000,962999,0.0001
963000,971999,0.0001
972000,980999,0.0001
981000,989999,0.0001
990000,998999,0.0001
999000,1007999,0.0000
